ARF;GV;Aero Flight
ARG;AR;Aerolíneas Argentinas
ARH;;Aerohelicopteros
ARH;;Arrowhead Airways
ARI;;Aero Vics
ARJ;;Aerojet de Costa Rica, S.A.
ARK;;Aero Link Air Services S.L.
ARL;;Airlec - Air Aquitaine Transport
ARM;;Aeromarket Express
ARO;;Arrow Aviation Ltd.
ARO;;Acero Taxi
ARP;;Aero Corporate
ARQ;;Armstrong Air, Inc.
ARR;QN;Air Armenia
ARS;;Aeromet Servicios
ART;;Aerotal Aerolíneas Territoriales de Colombia Ltda.
ART;6Y;Smartlynx Airlines
ARV;;Aravco Ltd.
ARW;;Aria
ARX;;Air Xpress, Inc.
ARY;;Argosy Airways
ARZ;;Air Resorts
ASA;AS;Alaska Airlines, Inc.
ASB;;Air-Spray 1967 Ltd.
ASC;;Air Star Corporation
ASD;4D;Air Sinai
ASE;PL;Airstars
ASF;;Austrian Air Force
ASF;;Air Schefferville, Inc.
ASG;;African Star Airways (PTY) Ltd.
ASH;YV;Mesa Airlines
ASI;;Aerosun International, Inc.
ASJ;;Air Satellite
ASK;;Aerosky
ASK;;La Ronge Aviation Services
ASL;JU;Air Serbia
ASM;;Awesome Flight Services (PTY) Ltd.
ASN;;Air and Sea Transport
ASO;;Aero Slovakia
ASP;;Airsprint
ASQ;EV;Atlantic Southeast Airlines
ASQ;EV;ExpressJet
ASR;;Aero Sotravia
ASR;;All Star Airlines, Inc.
ASS;;Air Class, S.A. de C.V.
AST;;Aerolíneas Del Oeste
ASV;;Astravia-Bissau Air Transports Ltd.
ASW;;Air Southwest Ltd.
ASX;;Air Special
ASY;;Royal Australian Air Force
ASZ;OB;Astrakhan Airlines
ATA;;Air Transport Association
ATB;;Atlantair Ltd.
ATC;TC;Air Tanzania
ATD;;Aerotours Dominicana
ATE;;Atlantis Transportation Services, Ltd.
ATF;;Compañía Aerotécnicas Fotográficas
ATG;;Aerotrans Airline
ATH;;Air Travel Corp.
ATI;HC;Aero-Tropics Air Services
ATJ;;Air Traffic GmbH
ATK;;AeroTACA
ATM;FO;Airlines of Tasmania
ATN;8C;Air Transport International
ATP;;ASTRAL Colombia - Aerotransportes Especiales Ltda.
ATQ;;Air Transport Schiphol
ATQ;;CHC Helicopters Nigeria
ATR;;Atlas Airlines
ATS;;Air Transport Service
ATT;;Attawasol Airlines
ATT;;Aer Turas
ATU;;Atlant Aerobatics Ltd.
ATV;;Avanti Air
ATW;;Aero Trades (Western) Ltd.
ATX;;Warwickshire Aerocentre Ltd.
ATZ;;Ace Air
AUA;OS;Austrian Airlines
AUB;IQ;Augsburg Airways
AUC;;Transaustralian Air Express
AUD;;Audi Air, Inc.
AUF;;Augusta Air Luftfahrtunternehmen
AUH;MO;Abu Dhabi Amiri Flight
AUI;PS;Ukraine International Airlines
AUJ;;Business Flight Salzburg
AUL;5N;Nordavia
AUM;;Air Atlantic Uruguay
AUN;;Aviones Unidos
AUN;;Common Sky
AUO;;Empresa (Aero Uruguay), S.A.
AUP;;Avia Business Group
AUR;GR;Aurigny Air Services
AUS;NO;Aus-Air
AUT;AU;Austral Líneas Aéreas
AUU;;Aurora Aviation, Inc.
AUX;;Air Uganda International Ltd.
AUY;;Aerolíneas Uruguayas, S.A.
AUZ;AO;Australian Airlines
AVA;AV;Avianca - Aerovías del Continente Americano S.A.
AVB;;Aviation Beauport
AVD;;Álamo Aviación, S.L.
AVE;VE;Avensa
AVF;;Aviair Aviation Ltd.
AVG;;Aviation Legacy
AVG;;Air Falcon
AVH;;AV8 Helicopters
AVJ;;Avia Traffic Company
AVK;;AV8 Helicopters
AVM;;Aviación Ejecutiva Mexicana, S.A.
AVN;NF;Air Vanuatu
AVO;;Aviation at Work
AVP;;Avcorp Registrations
AVP;;Aviacion Corporativa de Peubla
AVQ;;Aviation Services, Inc.
AVR;;Active Aero Charter, Inc.
AVS;;Avialsa T-35
AVT;;Asia Avia Airlines
AVU;;Avia Sud Aérotaxi
AVV;;Airvantage Incorporated
AVW;;Aviator Airways
AVX;;Aviapaslauga
AVX;;Aeroclub de Vitoria
AVY;;Aerovaradero, S.A.
AVZ;;Air Valencia
AWB;;Airways International, Inc.
AWC;ZT;Titan Airways
AWD;;Providence Aviation Services
AWE;HP;America West Airlines
AWE;US;US Airways
AWF;;Aeroforward
AWI;ZW;Air Wisconsin
AWJ;;Sahel Airlines
AWK;;Airwork
AWL;;Air Walser
AWL;;Australian Wetleasing
AWN;;Air Niamey
AWO;;Awood Air Ltd.
AWP;;Aeroworld Pakistan
AWQ;QZ;Indonesia AirAsia
AWR;;Arctic Wings And Rotors Ltd.
AWS;;Arab Wings
AWT;;Air West
AWU;7E;Sylt Air GmbH
AWV;;Airwave Transport, Inc.
AWW;6G;Air Wales
AWX;;Civil Aviation Authority Directorate of Airspace Policy
AWY;;Aeroway, S.L.
AWZ;;AirWest
AXB;IX;Air India Express
AXD;;Air Express
AXF;HJ;Asian Express Airlines
AXH;;Aeromexhaga
AXI;;Aeron International Airlines, Inc.
AXK;;African Express Airways
AXL;XT;Air Exel
AXM;AK;AirAsia
AXN;;Alexandair
AXP;;Aeromax
AXQ;;Action Airlines (Action Air Charter)
AXR;;Axel Rent, S.A.
AXS;;Altus Airlines
AXV;;Aviaxess
AXX;;Avioimpex A.D.p.o.
AXX;;Advance Air Luftfahrtgesellschaft
AXY;;Air X Charter
AXY;6V;Axis Airways
AYB;;Belgian Army
AYD;;Aladia Airlines
AYE;;Yunnan Yingan Airlines
AYG;;Yangon Airways
AYK;;Aykavia Aircompany
AYM;;Airman, S.L.
AYN;;Atlantic Airlines, S.A.
AYR;;Flight Training Europe
AYS;;Awsaj Aviation Services
AYT;;Ayeet Aviation & Tourism
AYU;;Yuhi Air Lines
AYZ;3G;Atlant-Soyuz Airlines
AZA;AZ;Alitalia
AZB;;Azamat
AZB;;Zaab Air
AZE;ZE;Arcus-Air Logistic
AZF;;Air Zermatt AG
AZG;;Sakaviaservice
AZI;ZS;Azzurra Air
AZJ;;Zas Air
AZK;;Azalhelikopter
AZL;;Africa One
AZM;;Aerocozumel
AZN;Z8;Línea Aérea Amaszonas
AZP;;Arizona Pacific Airways
AZQ;ZP;Silk Way Airlines
AZR;;Zenith Air
AZS;;Aviacon Zitotrans Air Company
AZT;;Azimut, S.A.
AZU;AD;Azul Linhas Aéreas Brasileiras
AZV;;Azov Avia Airlines
AZW;UM;Air Zimbabwe
AZX;;Air Max Africa
AZY;;Aztec Worldwide Airlines
AZY;;Arizona Airways, Inc.
AZZ;;Azza Transport
BAA;;Balkan Agro Aviation
BAB;;Bahrain Air BSC (Closed)
BAC;;BAC Leasing Limited
BAE;;BAE Systems
BAF;;Belgian Air Force
BAG;DI;Dba
BAH;;The Amiri Flight
BAJ;8Q;Baker Aviation
BAK;;Blackhawk Airways
BAL;;Belle Air Europe
BAL;;Britannia Airways
BAM;;Business Air Services
BAN;;British Antarctic Survey
BAP;;Trans International Express Aviation
BAR;;Bradly Air Services
BAS;;Aero Services
BAT;;Premiair
BAU;;Bissau Airlines
BAV;;Bay Aviation Ltd
BAW;BA;British Airways
BAX;;Best Aero Handling Ltd
BAY;;Bayon Airlines
BBA;;Bannert Air
BBB;VD;SwedJet Airways
BBC;BG;Biman Bangladesh Airlines
BBD;BF;Bluebird Cargo
BBE;;Ababeel Aviation
BBF;;B-Air Charter
BBJ;;Blue Air Lines
BBL;;IBM Euroflight Operations
BBN;;Civil Aviation Authority Airworthiness Division
BBO;F7;Flybaboo
BBR;S3;Santa Barbara Airlines
BBS;;Beibars CJSC
BBT;;Air Bashkortostan
BBV;;Bravo Airlines
BBZ;;Bluebird Aviation
BCB;;Carib Express
BCF;B4;BACH Flugbetriebsges
BCH;;Phillips Air
BCI;;Blue Islands
BCJ;;Blue Jet Charters
BCK;;Priority Aviation Company
BCL;;British Caribbean Airways
BCN;;Ocean Air
BCR;;British Charter
BCS;QY;European Air Transport
BCT;;BCT Aviation
BCV;;Business Aviation Center
BCY;WX;CityJet
BCY;WX;CityJet
BDA;BZ;Blue Dart Aviation
BDF;;Bissau Discovery Flying Club
BDG;;Mississippi State University
BDM;;Air Bandama
BDN;;DERA Boscombe Down
BDR;;Badr Airlines
BDS;;South Asian Airlines
BDV;;Aberdair Aviation
BEA;;Best Aviation Ltd
BEC;;State Air Company Berkut
BED;;Belgorod Aviation Enterprise
BEE;BE;Flybe
BEF;;Balear Express
BEH;;Bel Air Helicopters
BEK;;Berkut Air
BEL;SN;Brussels Airlines
BER;AB;Air Berlin
BES;W4;Aero Services Executive
BET;;BETA - Brazilian Express Transportes Aéreos
BEZ;;Kingfisher Air Services
BFA;;Presidence Du Faso
BFC;;Basler Flight Service
BFF;;Air Baffin
BFG;;Bear Flight
BFL;J4;Buffalo Airways
BFN;;Compagnie Nationale Naganagani
BFN;;Compangnie Nationale Naganagani
BFO;;Bombardier
BFR;;Burkina Airlines
BFS;;Business Flight Sweden
BFW;;Bahrain Defence Force
BGA;4Y;Airbus Transport International
BGD;B9;Air Bangladesh
BGF;;Aviodetachment-28
BGG;;Aero BG
BGH;;BH Air
BGI;;British Gulf International
BGK;;British Gulf International-Fez
BGL;A8;Benin Golf Air
BGM;;Bugulma Air Enterprise
BGR;;Budget Air Bangladesh
BGT;;Bergen Air Transport
BHA;;Buddha Air
BHC;;Aerotaxis De La Bahia
BHI;;Balkh Airlines
BHK;;Blu Halkin
BHL;;Bristow Helicopters
BHN;;Bristow Helicopters Nigeria
BHO;;Bhoja Airlines
BHP;4T;Belair Airlines
BHR;;Bighorn Airways
BHS;UP;Bahamasair
BHT;;Bright Air
BHV;;Specavia Air Company
BHY;;Bosphorus European Airways
BIB;;Michelin Air Services
BID;;Binair
BIE;ML;Air Mediterranee
BIG;;Big Island Air
BIH;BS;British International Helicopters
BIL;;Billund Air Center
BIN;;Boise Interagency Fire Center
BIR;;Bird Leasing
BIS;;Irbis Air
BIS;;Sky Bishek
BIV;;Aviaservice
BIZ;;Bizjet Ltd
BJA;;Baja Air
BJC;;Baltic Jet Aircompany
BJK;EX;Atlantic Airlines
BJS;;Business Jet Solutions
BJT;;ACM Aviation
BJV;;Beijing Vistajet Aviation
BKA;B4;Bankair
BKF;;BF-Lento OY
BKH;;RAF Barkston Heath
BKJ;;Barken International
BKK;;Blink
BKL;;Aircompany Barcol
BKP;PG;Bangkok Airways
BKR;;Civil Air Patrol South Carolina Wing
BKV;;Bukovyna
BLA;;All Charter Limited
BLB;;Blue Bird Aviation
BLC;;Bellesavia
BLE;;Blue Line
BLF;KF;Blue1
BLG;;Belgavia
BLH;;Blue Horizon Travel Club
BLI;;Thyssen Krupp AG
BLJ;;Blue Jet
BLK;;Westcoast Energy
BLL;;Baltic Airlines
BLM;;Blue Sky Airlines
BLN;;Bali International Air Service
BLR;;Atlantic Coast Airlines
BLS;JV;Bearskin Lake Air Service
BLT;;Baltic Aviation
BLU;;IMP Aviation Services
BLV;B3;Bellview Airlines
BLW;;Wermlandsflyg AB
BLX;6B;TUIfly Nordic
BLY;;Starair
BLZ;;Aero Barloz
BMA;BD;BMI
BMD;;British Medical Charter
BME;;Briggs Marine Environmental Services
BMH;;Bristow Masayu Helicopters
BMI;WW;Bmibaby
BMJ;CH;Bemidji Airlines
BMK;;GST Aero Aircompany
BML;5Z;Bismillah Airlines
BMM;8A;Atlas Blue
BMN;;Bowman Aviation
BMR;BM;BMI Regional
BMS;0B;Blue Air
BMV;;Alatau Airlines
BMW;;BMW
BMX;;Banco de Mexico
BNA;;Bun Air Corporation
BNB;;Aero Banobras
BNC;;Sundance Air
BND;;Bond Offshore Helicopters
BNE;;Benina Air
BNF;BN;Braniff International Airways
BNG;;BN Group Limited
BNI;;Alberni Airways
BNL;;Blue Nile Ethiopia Trading
BNR;;Bonair Aviation
BNS;;Bancstar - Valley National Corporation
BNT;;Bentiu Air Transport
BNV;;Benane Aviation Corporation
BNW;;British North West Airlines
BNX;KG;LAI - Línea Aérea IAACA
BNZ;;Aerolíneas Bonanza
BOA;;Boniair
BOB;;Backbone A/S
BOC;;Aerobona
BOD;;Bond Air Services
BOE;;Boeing
BOF;;Bordaire
BOI;;Aboitiz Air
BOL;;Transportes Aéreos Bolivianos
BON;JA;B&H Airlines
BOO;;Bookajet Limited
BOS;;OpenSkies
BOT;BP;Air Botswana
BOU;BO;Bouraq Indonesia Airlines
BOX;3S;Aerologic
BOX;;Tiphook PLC
BPA;BV;Blue Panorama Airlines
BPH;;Phoenix Helicopter Academy
BPK;;Berkhut ZK
BPO;;Bundespolizei-Fliegertruppe
BPS;;Budapest Aircraft Services/Manx2
BPT;;Bonus Aviation
BPX;;British Petroleum Exploration
BRB;7R;BRA-Transportes Aéreos
BRD;;Brock Air Services
BRE;;Breeze Ltd
BRF;;Air Bravo
BRG;8E;Bering Air
BRK;;Briansk State Air Enterprise
BRL;;Air Brasd'or
BRM;;Air 500
BRN;;Branson Airlines
BRO;;BASE Regional Airlines
BRP;;AeroBratsk
BRQ;UZ;El-Buraq Air Transport
BRR;;Mountain Air Service
BRS;;Brazilian Air Force
BRT;;British Regional Airlines
BRU;B2;Belavia Belarusian Airlines
BRV;;Bravo Air Congo
BRW;;Bright Aviation Services
BRX;;Buffalo Express Airlines
BRY;;Burundayavia
BRZ;E5;Samara Airlines
BSB;;Air Wings
BSC;;Bistair - Fez
BSD;;Blue Star Airlines
BSI;;Brasair Transportes Aéreos
BSJ;;Blue Swan Aviation
BSJ;;Skybus Jet
BSK;GL;Miami Air International
BSM;;Blue Sky Aviation
BSN;;Connectair Charters
BSO;;Aeroclub Barcelona-Sabadell
BSP;;Global Airways (BSP)
