id,airport_ref,airport_ident,length_ft,width_ft,surface,le_ident,le_latitude_deg,le_longitude_deg,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
234710,1878,CYQU,8502,200,ASP,12,55.1901,-118.905,134.6,400,30,55.1737,-118.876,2188,314.6,
234878,1986,CYYT,8502,200,ASP,11,47.6233,-52.7733,85.9,,29,47.625,-52.7389,437,265.9,
244023,18929,K5T6,8500,100,ASP,10,31.8853,-106.718,111.8,,28,31.8766,-106.692,4108,291.8,
245548,19885,KFNL,8500,100,ASP,15,40.4623,-105.017,160.4,,33,40.4403,-105.007,5016,340.4,
243229,19927,KGBN,8500,150,ASP,17,32.8992,-112.72,181.2,,35,32.8758,-112.72,858,1.2,
241752,19999,KGYR,8500,150,ASP,3,33.4136,-112.385,38,,21,33.4319,-112.368,968,218,2100
243775,20084,KHSA,8500,150,ASP,18,30.3795,-89.4546,180,,36,30.3561,-89.4547,13,360,
242209,3619,KJAN,8500,150,ASP,16L,32.3282,-90.0777,158,,34R,32.3065,-90.0674,346,338,
242208,3619,KJAN,8500,150,ASP,16R,32.3158,-90.0844,158,,34L,32.2942,-90.0741,329,338,
242496,3628,KLAL,8500,150,ASP,9,27.9892,-82.0339,90,,27,27.9893,-82.0075,142,270,
241611,3630,KLAR,8500,150,ASP,3,41.3027,-105.687,45.6,,21,41.319,-105.665,7272,225.6,
245475,21222,KTRM,8500,150,ASP,17,33.6391,-116.156,180,,35,33.6158,-116.156,-135,360,
256701,30768,MPHO,8500,148,ASP,18,8.92651,-79.5996,180,,36,8.90308,-79.5996,17,0,
233725,26712,VYBG,8500,100,ASP,18,21.1904,94.9302,180,,36,21.1671,94.9301,,360,
233736,26718,VYHH,8500,100,ASP,18,20.7586,96.7922,180,,36,20.7355,96.7919,3858,360,2384
244287,3489,KDHN,8498,150,ASP,14,31.3306,-85.4616,135,,32,31.3141,-85.4424,382,315,
235783,2512,EGYP,8497,150,ASP,10,-51.8177,-58.4763,105,,28,-51.8239,-58.44,208,285,
238618,5094,OEHW,8497,98,ASP,15,22.978,46.8931,150,,33,22.9575,46.9057,2074,330,
239560,2471,EGQL,8491,150,ASP,8,56.373,-2.88171,82,886,26,56.3764,-2.84025,21,262,
246271,3000,FVBU,8491,148,ASP,13,-20.0162,28.6152,115,,31,-20.0262,28.6376,4359,295,
235547,2355,HE12,8481,141,ASP,4,30.3265,31.4369,47,,22,30.3424,31.4565,115,227,
236783,26607,VOCB,8480,150,ASP,5,11.0219,77.0349,46,,23,11.0382,77.0519,1275,226,
236338,4250,LGAL,8471,148,ASP,7,40.8525,25.9417,73,,25,40.8592,25.9708,24,253,
239068,2696,ESOW,8468,164,ASP,1,59.5785,16.6292,8.2,1312,19,59.6012,16.6385,21,188.2,
246254,26978,OY75,8460,110,ASP,16,15.6129,49.077,162.1,,34,15.5908,49.0844,,342.1,
240964,5379,PAJN,8457,150,ASP,8,58.3579,-134.598,105,,26,58.352,-134.555,20,285,
235279,6178,SKYP,8448,98,ASP,5,5.31088,-72.3922,45.1,492,23,5.32734,-72.3757,1028,225.1,574
236550,26786,WARI,8448,92,ASP,17L,-7.603,111.434,175.9,,35R,-7.62622,111.436,,355.9,525
237629,5241,OOMA,8446,148,ASP,7,20.6714,58.8807,66.7,,25,20.6805,58.9033,64,246.7,
239637,6486,UKON,8438,144,ASP,5,47.0506,31.9067,50.9,,23,47.0652,31.9329,184,230.9,
238422,5717,RPUF,8433,140,ASP,3,14.9763,120.487,26.8,,21,14.9968,120.498,151,206.8,
233002,5848,SAZN,8432,148,ASP,9,-38.949,-68.1705,90.2,,27,-38.949,-68.1409,886,270.2,
233752,6496,UMGG,8432,141,ASP,11,52.5311,30.999,111.9,,29,52.5229,31.0344,467,291.9,
239622,6469,UKCM,8431,164,ASP,2,47.0653,37.4435,21.1,,20,47.0869,37.4557,246,201.1,
233747,6502,UMOO,8422,138,ASP,13,53.9632,30.0817,136.6,,31,53.9466,30.1084,616,316.6,
244532,3515,KERI,8420,150,ASP,6,42.0766,-80.1844,54.4,920,24,42.087,-80.1649,729,234.4,
244425,19608,KD68,8417,75,ASP,3,34.122,-109.321,44,,21,34.1387,-109.302,7019,224,
239574,2429,EGKK,8415,148,ASP,08L,51.1469,-0.212569,77.7,1053,26R,51.1518,-0.176814,195,257.7,1366
243166,3868,KSBN,8412,150,ASP,09R,41.7043,-86.3294,88.8,,27L,41.7048,-86.2986,770,268.8,
236533,26846,WION,8410,105,ASP,18,3.9203,108.388,182.2,,36,3.89713,108.387,,2.2,
242913,3932,KTUS,8408,75,ASP,11R,32.1221,-110.95,135.2,1410,29L,32.1058,-110.93,2629,315.2,
238776,2827,FAPP,8400,148,ASP,1,-23.8604,29.4589,359,,19,-23.8373,29.4585,4013,179,
242684,3375,KALO,8400,150,ASP,12,42.566,-92.412,128,,30,42.5519,-92.3873,867,308,
244967,3622,KJFK,8400,200,ASP,04R,40.6254,-73.7703,30.6,,22L,40.6452,-73.7549,13,210.6,
243216,3732,KNKT,8399,200,ASP,14R,34.903,-76.8825,135.5,846,32L,34.8866,-76.8629,17,315.5,
243789,3955,KWYS,8399,150,ASP,1,44.6781,-111.125,26.3,,19,44.6987,-111.11,6629,206.3,
233152,26917,YBMA,8399,148,ASP,16,-20.655,139.486,169,,34,-20.6776,139.491,1111,349,
233321,27103,YPED,8399,150,ASP,18,-34.6945,138.618,189,,36,-34.7174,138.613,52,9,
